artist_id,artist_name,avg_track_popularity,song_portfolio_score
7FZj349hdLfD6qzXkJLuAh,La Quinta Estacion,59.0,25.79933847850055
0MvSBMGRQJY3mRwIbJsqF1,Royal Philharmonic Orchestra,44.9,19.58103638368247
0jnsk9HBra6NMjO2oANoPY,Flo Rida,77.3,33.86990077177508
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,76.5,33.51708930540242
360IAlyVv4PCEVjgyMZrxK,Miguel,73.6,32.23814773980154
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,73.2,32.06174200661521
09UmIX92EUH9hAK4bxvHx6,Mithoon,62.1,27.166482910694597
7okwEbXzyT2VffBmyQBWLz,Maná,73.5,32.19404630650496
3FUY2gzHeIiaesXtOAdB7A,Train,67.7,29.6361631753032
5SCDfg1YoEfI5gFtXqEWah,ATLXS,70.1,30.694597574421167
6WOdPJmexxFINcKMkP2jMG,Sachet Tandon,68.6,30.03307607497243
3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,62.6,27.386990077177508
2cGwlqi3k18jFpUyTrsR84,The Verve,57.4,25.093715545755234
09cKncAQn28NqTUORLMwSR,Ariis,71.3,31.223814773980152
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,53.4,23.32965821389195
5tIkxADHN80ca0K6HCpWIt,ZXKAI,69.4,30.38588754134509
4Uwx6qzRn0kA9sz6cCDpBO,Tkandz,57.8,25.270121278941563
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,83.8,36.73649393605292
3SozjO3Lat463tQICI9LcE,Tyla,77.8,34.09040793825799
03SZmfKAgYRQKUwy0EoJUa,Roop Kumar Rathod,60.5,26.460859977949283
4K6blSRoklNdpw4mzLxwfn,Kumar Sanu,56.8,24.82910694597574
4vhNDa5ycK0ST968ek7kRr,Carlos Vives,69.4,30.38588754134509
46UMQ0cW8ToR8egkBRwAxZ,Cynthia Erivo,78.0,34.17861080485116
6bmlMHgSheBauioMgKv2tn,Powfu,58.7,25.667034178610805
4AhHkaGz7W2bKKJK90IaV2,Batas Senja,55.2,24.12348401323043
1wGIhYkKWSq4yACtTkCkSX,Canserbero,71.8,31.444321940463063
3xRtandQusLOaCPqLJ0ia2,Na.Muthukumar,65.3,28.577728776185225
7y97mc3bZRFXzT2szRM4L4,Frédéric Chopin,63.2,27.651598676957004
51ZSh80McCt7vbqHouzW0A,Yahritza Y Su Esencia,58.8,25.711135611907384
4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,72.1,31.57662624035281
6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,72.6,31.79713340683572
0mA4dkNGiN4fqTBi2SLlAv,Edgardo Nuñez,69.9,30.606394707828002
5IrxhrMyvZxzgPYrC9j2km,Ian Asher,69.2,30.29768467475193
1aWJsBQa67l72j1VT3D6Ow,Micro TDH,63.1,27.60749724366042
7EK1bQADBoqbYXnT4Cqv9w,John Denver,64.8,28.357221609702314
3Y9A8EQQtWU8RStiTlzErv,Jombriel,61.6,26.945975744211687
6O74knDqdv3XaWtkII7Xjp,Boyz II Men,60.4,26.416758544652698
581C5Qwl87TskfBEzuoisu,Cafuné,58.8,25.711135611907384
5gOJTI4TusSENizxhcG7jB,David Bisbal,64.8,28.357221609702314
0gHj4MPwwcZ8Zl9CY0hqT5,Mc Paiva ZS,65.8,28.798235942668136
4D75GcNG95ebPtNvoNVXhz,AFROJACK,56.9,24.873208379272324
2rmkQLzj0k4nZdQehOUByO,Chino Pacas,74.1,32.45865490628445
2cFrymmkijnjDg9SS92EPM,blackbear,69.8,30.56229327453142
4cYbf45YbZptNISnhay0xH,ROA,75.1,32.89966923925027
4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,62.9,27.51929437706725
05dG9pMLRWenxzvSmefE6U,MixSingh,64.2,28.092613009922825
1ackd5XprZEkH3McKbQD51,Juan Magán,63.3,27.695700110253583
5vngPClqofybhPERIqQMYd,George Strait,69.1,30.253583241455342
3MrDVzg7ZXaYMyQmbDInr7,WIU,68.2,29.85667034178611
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,70.1,30.694597574421167
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,74.7,32.723263506063944
1G9G7WwrXka3Z1r7aIDjI7,Outkast,70.9,31.047409040793823
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,72.9,31.929437706725473
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,69.5,30.429988974641674
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,60.3,26.372657111356116
56ZTgzPBDge0OvCGgMO3OY,Beach House,65.8,28.798235942668136
0NbfKEOTQCcwd6o7wSDOHI,The Game,65.3,28.577728776185225
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,63.8,27.916207276736493
7kNqXtgeIwFtelmRjWv205,John Summit,71.0,31.09151047409041
5PTw7KmM8c9QfBjU5caHWs,Jemsii,71.6,31.3561190738699
66NmU5epI0ONGmdCRbLpmW,Feby Putri,62.9,27.51929437706725
5GGJosGMs08YEmKTZJe1fL,Suki Waterhouse,62.2,27.210584343991183
69MEO1AADKg1IZrq2XLzo5,UB40,59.0,25.79933847850055
4f9iBmdUOhQWeP7dcAn1pf,Rag'n'Bone Man,58.8,25.711135611907384
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,77.7,34.04630650496141
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,64.7,28.313120176405736
3KV3p5EY4AvKxOlhGHORLg,Jeremih,69.4,30.38588754134509
1gW6pz5n1aK249L0GvfQCC,Grupo Marca Registrada,73.3,32.105843439911794
2loEsOijJ6XiGzWYFXMIRk,Adam Port,66.9,29.28335170893054
3xU8YsNNkmWSPewlB18NUz,Harshdeep Kaur,61.6,26.945975744211687
5dDNNq04RjKXFOADdHd6VX,Scythermane,69.0,30.209481808158763
0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,50.1,21.87431091510474
6FXMGgJwohJLUSr5nVlf9X,Massive Attack,65.3,28.577728776185225
7HkdQ0gt53LP4zmHsL0nap,Ella Mai,68.6,30.03307607497243
4d3yvTptO48nOYTPBcPFZC,Eve,58.8,25.711135611907384
3HedFe4b2Nqeg1CEzmt6ZI,Marino,72.0,31.53252480705623
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,79.6,34.88423373759647
