rank,artist_name,track_name,daily_streams,streams_plus,seven_day,seven_day_plus,total_streams,artist_url,track_url
113,sombr,12 to 12,"366,375","+17,120","2,746,332","-94,989","74,505,697",https://kworb.net/spotify/artist/4G9NDjRyZFDlJKMRL8hx3S_albums.html,https://kworb.net/spotify/track/05od2qm2MTSKCHxy1GBp5W.html
114,Perry Como,(There's No Place Like) Home for the Holidays - 1959 Version,"365,184","+33,567","992,279","+365,184","49,764,553",https://kworb.net/spotify/artist/5v8jlSmAQfrkTjAlpUfWtu_albums.html,https://kworb.net/spotify/track/0hvN2v6fAcB6xWyW7UaooA.html
115,Band Aid,Do They Know It's Christmas? - 1984 Version,"362,972","+29,993","695,951","+362,972","125,052,896",https://kworb.net/spotify/artist/35S20clEkkSNUo23ViaslZ_albums.html,https://kworb.net/spotify/track/0247StOpd3AkeBQzANX4Zf.html
116,Mark Ambor,Run Rudolph Run - Spotify Singles Holiday,"359,510","+30,081","688,939","+359,510","18,955,501",https://kworb.net/spotify/artist/11p2E654TTU8e0nZWBR4AL_albums.html,https://kworb.net/spotify/track/6pheMGrfMwwnypqafU7d4k.html
117,Cynthia Erivo,No Good Deed,"358,889","+16,018","3,560,587","-278,654","4,794,125",https://kworb.net/spotify/artist/46UMQ0cW8ToR8egkBRwAxZ_albums.html,https://kworb.net/spotify/track/5o0hD6Bs6RdyZxfYBoEEc8.html
118,Gigi Perez,Sailor Song,"357,191","+9,806","2,742,203","-55,311","403,880,187",https://kworb.net/spotify/artist/1iCnM8foFssWlPRLfAbIwo_albums.html,https://kworb.net/spotify/track/2262bWmqomIaJXwCRHr13j.html
119,"Tyler, The Creator",See You Again (w/ Kali Uchis),"356,473","+34,781","2,551,775","-57,419","858,135,886",https://kworb.net/spotify/artist/4V8LLVI7PbaPR0K2TGSxFF_albums.html,https://kworb.net/spotify/track/7KA4W4McWYRpgf0fWsJZWB.html
120,Nat King Cole,Joy To The World,"355,787","+34,518","677,056","+355,787","93,772,715",https://kworb.net/spotify/artist/7v4imS0moSyGdXyLgVTIV7_albums.html,https://kworb.net/spotify/track/1VuAamHM7P3VQQEXYGG3Uu.html
121,Bing Crosby,Winter Wonderland,"355,245","+53,033","657,457","+355,245","47,060,602",https://kworb.net/spotify/artist/6ZjFtWeHP9XN7FeKSUe80S_albums.html,https://kworb.net/spotify/track/5VEuraNSVxMTzDTtrmL3lQ.html
122,Whiskey Myers,Broken Window Serenade,"355,074","+38,036","2,506,316","-59,546","46,166,248",https://kworb.net/spotify/artist/26opZSJcXshCmCwxgZQmBc_albums.html,https://kworb.net/spotify/track/1VOSSXuWRcBj2rpfxNdX9v.html
123,Billie Eilish,WILDFLOWER,"352,031","-57,511","3,208,729","-49,731","374,503,494",https://kworb.net/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_albums.html,https://kworb.net/spotify/track/3QaPy1KgI7nu9FJEQUgn6h.html
124,Fleetwood Mac,The Chain - 2004 Remaster,"351,818","+39,421","2,457,083","-50,236","66,007,428",https://kworb.net/spotify/artist/08GQAI4eElDnROBrJRGE0X_albums.html,https://kworb.net/spotify/track/5e9TFTbltYBg2xThimr0rU.html
125,Justin Bieber,DAISIES,"350,615","+19,346","2,708,063","-110,395","114,794,018",https://kworb.net/spotify/artist/1uNFoZAHBGtllmzznpCI3s_albums.html,https://kworb.net/spotify/track/5BZsQlgw21vDOAjoqkNgKb.html
126,The Police,Every Breath You Take,"350,463","-9,901","2,493,446","+9,248","31,909,660",https://kworb.net/spotify/artist/5NGO30tJxFlKixkPSgXcFE_albums.html,https://kworb.net/spotify/track/1JSTJqkT5qHq8MDJnJbRE1.html
127,Kehlani,Folded,"350,357","+14,271","2,620,151","-90,168","46,937,189",https://kworb.net/spotify/artist/0cGUm45nv7Z6M6qdXYQGTX_albums.html,https://kworb.net/spotify/track/0bxPRWprUVpQK0UFcddkrA.html
128,Sabrina Carpenter,Tears,"350,121","+14,537","2,640,156","-70,600","75,175,451",https://kworb.net/spotify/artist/74KM79TiuVKeVCqs8QtB0B_albums.html,https://kworb.net/spotify/track/42VUCXerQ5qTr4Qp6PhKo4.html
129,Sabrina Carpenter,When Did You Get Hot?,"348,562","+13,920","2,797,347","-86,371","68,596,542",https://kworb.net/spotify/artist/74KM79TiuVKeVCqs8QtB0B_albums.html,https://kworb.net/spotify/track/0je57Uq5eTk1wrPzn9sWbl.html
130,Laufey,From The Start,"343,889","+6,078","2,664,835","-63,715","235,735,009",https://kworb.net/spotify/artist/7gW0r5CkdEUMm42w9XpyZO_albums.html,https://kworb.net/spotify/track/43iIQbw5hx986dUEZbr3eN.html
131,Waka Flocka Flame,"No Hands (w/ Roscoe Dash, Wale)","343,020","+69,494","2,406,121","-112,228","94,329,060",https://kworb.net/spotify/artist/6f4XkbvYlXMH0QgVRzW0sM_albums.html,https://kworb.net/spotify/track/03tqyYWC9Um2ZqU0ZN849H.html
132,Childish Gambino,Les,"341,295","+26,331","2,542,239","-37,583","77,170,832",https://kworb.net/spotify/artist/73sIBHcqh3Z3NyqHKZ7FOL_albums.html,https://kworb.net/spotify/track/7ghKr0pCYyPPyp7t1FH8k4.html
133,Chappell Roan,"Good Luck, Babe!","339,777","+41,037","2,522,555","-88,604","626,851,289",https://kworb.net/spotify/artist/7GlBOeep6PqTfFi59PTUUN_albums.html,https://kworb.net/spotify/track/0WbMK4wrZ1wFSty9F7FCgu.html
134,Cody Johnson,Travelin' Soldier,"338,419","-1,997","2,925,080","-213,523","14,094,257",https://kworb.net/spotify/artist/6zLBxLdl60ekBLpawtT63I_albums.html,https://kworb.net/spotify/track/4ThbwJaIWVxXZ1qJaHQBCz.html
135,Tate McRae,TRYING ON SHOES,"337,809","-15,582","3,388,624","-338,520","4,981,423",https://kworb.net/spotify/artist/45dkTj5sMRSjrmBSBeiHym_albums.html,https://kworb.net/spotify/track/7AxXJXqJOMRqkgZxvG3r6E.html
136,Olivia Dean,Let Alone The One You Love,"336,835",+616,"2,842,834","-94,661","15,584,099",https://kworb.net/spotify/artist/00x1fYSGhdqScXBRpSj3DW_albums.html,https://kworb.net/spotify/track/3Vd4fHzwS6pBS3muymjiDi.html
137,Chris Stapleton,Tennessee Whiskey,"336,508","+8,408","2,558,859","-74,550","528,978,889",https://kworb.net/spotify/artist/4YLtscXsxbVgi031ovDDdh_albums.html,https://kworb.net/spotify/track/3fqwjXwUGN6vbzIwvyFMhx.html
138,Britney Spears,My Only Wish (This Year),"336,165","+33,204","639,126","+336,165","39,061,864",https://kworb.net/spotify/artist/26dSoYclwsYLMAKD3tpOr4_albums.html,https://kworb.net/spotify/track/0YWUHZPJVg4iujddsJDwhM.html
139,Bad Bunny,DtMF,"335,988","-3,819","2,554,859","-76,755","236,428,059",https://kworb.net/spotify/artist/4q3ewBCX7sLwd24euuV69X_albums.html,https://kworb.net/spotify/track/3sK8wGT43QFpWrvNQsrQya.html
140,Shaboozey,A Bar Song (Tipsy),"335,962","-13,307","2,673,490","-87,471","623,574,236",https://kworb.net/spotify/artist/3y2cIKLjiOlp1Np37WiUdH_albums.html,https://kworb.net/spotify/track/5fZJQrFKWQLb7FpJXZ1g7K.html
141,Bruno Mars,That's What I Like,"335,712","-49,935","3,184,702","-34,899","323,094,973",https://kworb.net/spotify/artist/0du5cEVh5yTK9QJze8zA0C_albums.html,https://kworb.net/spotify/track/0KKkJNfGyhkQ5aFogxQAPU.html
142,BigXthaPlug,Hell At Night (w/ Ella Langley),"335,244","-11,818","2,843,618","-134,671","41,733,407",https://kworb.net/spotify/artist/6qxpnaukVayrQn6ViNvu9I_albums.html,https://kworb.net/spotify/track/6r1lboTadi5swMquaAWDzh.html
143,King Von,Took Her To The O,"334,944","+38,073","631,815","+334,944","51,842,496",https://kworb.net/spotify/artist/6QtgPSJPSzcnn7dPZ4VINp_albums.html,https://kworb.net/spotify/track/7fEoXCZTZFosUFvFQg1BmW.html
