rank,artist_name,artist_url,listeners,daily_change,peak_rank,peak_listeners
125,Chappell Roan,https://kworb.net/spotify/artist/7GlBOeep6PqTfFi59PTUUN_albums.html,"35,997,893","158,244",59,"47,355,595"
126,Twenty One Pilots,https://kworb.net/spotify/artist/3YQKmKGau1PzlVlkL1iodx_albums.html,"35,956,117","87,141",116,"35,956,117"
127,Romeo Santos,https://kworb.net/spotify/artist/5lwmRuXgjX8xIwlnauTZIP_albums.html,"35,884,087","246,510",97,"37,325,349"
128,Myke Towers,https://kworb.net/spotify/artist/7iK8PXO48WeuP03g8YR51W_albums.html,"35,846,608","-45,765",48,"47,235,005"
129,AC/DC,https://kworb.net/spotify/artist/711MCceyCBcFnzjGY4Q7Un_albums.html,"35,819,966","-36,548",77,"40,609,655"
130,Feid,https://kworb.net/spotify/artist/2LRoIwlKmHjgvigdNGBHNo_albums.html,"35,763,375","36,316",53,"46,407,503"
131,Alicia Keys,https://kworb.net/spotify/artist/3DiDSECUqqY1AuBP8qtaIa_albums.html,"35,731,202","-42,121",101,"36,467,650"
132,Gracie Abrams,https://kworb.net/spotify/artist/4tuJ0bMpJh08umKkEXKUI5_albums.html,"35,641,029","204,767",43,"51,497,815"
133,Green Day,https://kworb.net/spotify/artist/7oPftvlwr6VrsViSDV7fJY_albums.html,"35,640,450","-127,608",96,"38,399,475"
134,Disney,https://kworb.net/spotify/artist/3xvaSlT4xsyk6lY1ESOspO_albums.html,"35,577,541","181,279",121,"36,054,080"
135,Guns N' Roses,https://kworb.net/spotify/artist/3qm84nBOXUEQ2vnTfUTTFC_albums.html,"35,514,179","30,114",117,"36,387,862"
136,Avicii,https://kworb.net/spotify/artist/1vCWHaC5f2uS3yhpwWbIA6_albums.html,"35,494,803","7,615",68,"43,468,577"
137,The MarÃ­as,https://kworb.net/spotify/artist/2sSGPbdZJkaSE2AbcGOACx_albums.html,"35,462,420","153,460",106,"37,229,305"
138,James Arthur,https://kworb.net/spotify/artist/4IWBUUAFIplrNtaOHcJPRM_albums.html,"35,324,102","7,874",69,"40,276,141"
139,Grupo Frontera,https://kworb.net/spotify/artist/6XkjpgcEsYab502Vr1bBeW_albums.html,"35,274,645","50,288",64,"39,234,817"
140,Diplo,https://kworb.net/spotify/artist/5fMUXHkw8R8eOP2RNVYEZX_albums.html,"35,257,172","-58,713",95,"35,979,312"
141,A$AP Rocky,https://kworb.net/spotify/artist/13ubrt8QOOCPljQ2FL1Kca_albums.html,"35,044,570","64,127",91,"38,527,146"
142,Frank Ocean,https://kworb.net/spotify/artist/2h93pZq0e7k5yf4dywlkpM_albums.html,"34,967,041","53,065",96,"37,385,637"
143,Brenda Lee,https://kworb.net/spotify/artist/4cPHsZM98sKzmV26wlwD2W_albums.html,"34,856,214","1,199,458",21,"73,309,610"
